text,policy_area
To amend titles XVIII and XIX of the Social Security Act to make premium and cost-sharing subsidies available to low-income Medicare part D beneficiaries who reside in Puerto Rico or another territory of the United States.,Health
To amend the Controlled Substances Act with regard to the provision of emergency medical services.,Health
"To amend the Public Health Service Act to provide for the
		  participation of physical therapists in the National Health Service Corps Loan
		  Repayment Program, and for other purposes.",Health
To amend the Public Health Service Act to establish an Office of Drug Manufacturing.,Health
To amend title XIX of the Social Security Act to repeal the amendments made by the Deficit Reduction Act of 2005 requiring documentation evidencing citizenship or nationality as a condition for receipt of medical assistance under the Medicaid Program.,Health
"To amend title XVIII of the Social Security Act to
		  protect Medicare beneficiaries' access to home health services under the
		  Medicare program. ",Health
"To establish within the Food and Drug Administration the Prescription Drug and Medical Device Price
			 Review Board to regulate the prices of certain prescription drugs and
			 medical devices, and for other purposes.",Health
To prohibit the use of organophosphate pesticides on food.,Health
"To prohibit any person from soliciting or knowingly acquiring, receiving, or accepting a donation of human fetal tissue for any purpose other than disposal of the tissue if the donation affects interstate commerce and the tissue will be or is obtained pursuant to an induced abortion, and for other purposes.",Health
"To amend the Employee Retirement Income Security Act of 1974 to protect patients from surprise
			 medical bills.",Health
